"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"77","MIA","MIA",2019,"446","17.3","0.158","0.474","0.000","0.632","0.325","0.324","0.184","3","19","86.2","2.4","2354","84.4","83.33","14","32","45","-1.1","5.51","104","154","120","148","300","335","304"
"100","MIA","MIA",2022,"561","17.8","0.100","0.150","0.071","0.250","0.218","0.324","0.220","2","20","87.5","35.1","2352","85.2","85.07","7","40","60","-0.1","6.28","104","149","116","149","291","317","294"
"49","CHC","CHC",2018,"509","9.6","0.333","0.250","0.500","0.583","0.389","0.336","0.276","4","12","93.7","18.3","2350","82.1","81.72","11","22","27","-0.4","6.07","118","154","110","150","293","319","301"
"130","SEA","SEA",2021,"485","26.8","0.200","0.233","0.313","0.433","0.324","0.339","0.226","6","30","90.5","17.3","2348","83.3","83.16","23","65","65","-0.1","6.31","111","151","116","148","290","318","300"
"47","LAA","LAA",2021,"293","16.0","0.000","0.000","0.000","0.000","0.173","0.292","0.157","0","6","66.0","-6.0","2346","82.7","82.37","2","14","33","-0.3","6.22","112","155","116","148","298","326","303"
"67","STL","STL",2019,"453","14.8","0.455","0.091","0.625","0.545","0.467","0.468","0.451","5","11","91.6","9.5","2342","86.4","85.18","10","25","42","-1.2","5.64","106","152","112","147","299","322","305"
"224","COL","COL",2018,"1383","16.2","0.237","0.237","0.286","0.475","0.319","0.309","0.220","14","59","89.2","13.7","2341","84.6","84.20","41","109","115","-0.4","6.07","115","150","113","145","288","313","295"
"217","ARI","ARI",2018,"1553","14.0","0.158","0.000","0.273","0.158","0.192","0.219","0.167","9","57","86.7","2.0","2336","82.7","82.05","52","126","91","-0.7","5.92","108","149","116","147","295","324","300"
"85","MIA","MIA",2021,"394","21.6","0.105","0.053","0.133","0.158","0.141","0.267","0.241","2","19","87.6","29.7","2330","86.8","86.45","12","41","44","-0.4","6.09","109","152","116","150","304","322","286"
"1730","SD","SD",2019,"12078","14.3","0.242","0.166","0.330","0.409","0.304","0.290","0.227","102","421","87.4","12.5","2329","85.1","84.22","282","837","893","-0.9","5.73","115","152","116","149","303","324","303"
"93","WSH","WSH",2019,"563","16.5","0.091","0.000","0.143","0.091","0.130","0.212","0.159","2","22","84.5","2.1","2321","83.4","82.46","19","48","45","-0.9","5.77","106","150","113","147","306","321","296"
"16","PHI","PHI",2021,"444","3.6","0.250","0.250","0.333","0.500","0.310","0.165","0.155","1","4","92.6","16.0","2317","84.5","85.34","3","10","6","0.8","6.82","106","153","115","146","304","326","296"
"116","ARI","ARI",2020,"1042","11.1","0.250","0.375","0.333","0.625","0.439","0.374","0.228","4","16","95.7","14.8","2296","85.0","85.45","18","42","74","0.4","6.63","107","151","121","149","298","322","307"
"298","COL","COL",2019,"1219","24.4","0.087","0.043","0.143","0.130","0.153","0.229","0.177","6","69","86.8","4.8","2286","86.1","85.44","60","147","151","-0.7","5.82","112","152","115","147","300","327","307"
"75","BAL","BAL",2019,"279","26.9","0.136","0.136","0.167","0.273","0.167","0.249","0.169","3","22","89.5","22.5","2282","84.0","82.79","16","45","30","-1.2","5.55","110","153","114","145","306","328","293"
"192","ARI","ARI",2019,"1200","16.0","0.180","0.220","0.171","0.400","0.268","0.286","0.223","9","50","84.3","14.3","2266","83.0","82.35","37","103","89","-0.6","5.81","111","152","119","150","302","326","303"
"1","SEA","SEA",2018,"275","0.4",,,,,,,,,,,,"2256","83.6","83.50","0","0","1","-0.1","6.10","121","141","142","153","285","322","310"
"12","WSH","WSH",2018,"404","3.0","0.250","0.000","0.333","0.250","0.220","0.187","0.189","1","4","89.7","-17.0","2238","87.7","88.19","2","8","4","0.5","6.48","114","149","116","150","300","311","297"
"46","OAK","OAK",2021,"287","16.0","0.400","0.500","0.600","0.900","0.537","0.431","0.339","4","10","85.5","10.3","2163","84.3","84.48","3","19","27","0.2","6.40","115","147","113","149","297","323","301"
