"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"84","PHI","PHI",2019,"613","13.7","0.227","0.273","0.444","0.500","0.292","0.197","0.168","5","22","96.9","19.4","2672","78.0","77.56","18","40","44","-0.4","5.63","114","147","112","146","309","331","304"
"68","ATL","ATL",2021,"490","13.9","0.067","0.067","0.077","0.133","0.116","0.188","0.140","1","15","84.6","20.1","2670","79.7","80.03","10","33","35","0.3","6.20","107","153","135","137","308","344","308"
"25","SF","SF",2022,"428","5.8","0.667","1.000","0.500","1.667","0.984","0.545","0.305","2","3","88.9","17.0","2664","83.3","82.98","1","8","17","-0.3","5.86","106","152","111","144","320","334","299"
"42","WSH","WSH",2018,"432","9.7","0.000","0.000","0.000","0.000","0.000","0.071","0.066","0","11","83.2","8.0","2642","79.5","79.39","8","21","21","-0.1","5.87","118","155","112","151","319","339","309"
"43","ATL","ATL",2018,"433","9.9","0.143","0.000","0.167","0.143","0.126","0.211","0.215","2","14","82.6","16.1","2640","78.5","77.28","6","23","20","-1.2","5.29","108","151","105","151","312","334","312"
"85","PHI","PHI",2018,"579","14.7","0.273","0.136","0.375","0.409","0.326","0.284","0.234","6","22","89.2","2.6","2633","81.4","81.13","13","38","47","-0.3","5.81","113","151","113","149","304","335","307"
"9","OAK","OAK",2020,"258","3.5","0.500","0.000","0.500","0.500","0.441","0.463","0.508","1","2","76.8","17.0","2633","72.8","71.81","0","2","7","-1.0","5.38","113","145","123","149","300","334","315"
"42","BOS","BOS",2019,"336","12.5","0.500","0.500","0.600","1.000","0.612","0.341","0.320","4","8","86.8","6.0","2632","79.7","79.42","1","10","32","-0.3","5.66","114","153","114","149","303","333","304"
"33","NYM","NYM",2019,"438","7.5","0.250","0.000","0.250","0.250","0.217","0.180","0.164","1","4","84.8","28.8","2624","78.6","78.15","3","9","24","-0.4","5.53","118","154","120","139","308","332","303"
"147","SF","SF",2018,"1253","11.7","0.167","0.167","0.278","0.333","0.248","0.163","0.096","6","36","82.2","17.6","2622","78.3","77.57","20","64","83","-0.7","5.51","112","148","113","146","308","339","310"
"36","PIT","PIT",2019,"571","6.3","0.083","0.167","0.167","0.250","0.173","0.189","0.144","1","12","87.2","7.3","2617","83.1","83.24","13","22","14","0.1","5.88","112","148","126","151","314","350","323"
"29","CHC","CHC",2021,"399","7.3","0.333","0.444","0.500","0.778","0.459","0.352","0.246","3","9","92.5","7.4","2609","79.6","79.74","5","13","16","0.1","6.09","110","156","114","151","309","339","312"
"25","PIT","PIT",2018,"372","6.7","0.222","0.000","0.500","0.222","0.195","0.221","0.178","2","9","94.1","19.8","2607","83.0","83.26","8","14","11","0.3","6.04","117","151","114","150","319","344","316"
